hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
1,1,0.01,None,1,0.5975620637358711,43.68504508336385
1,1,0.05,None,1,0.5941769268216127,15.223452965418497
1,1,0.1,None,1,0.5727453683606537,12.364593664805094
1,1,0.5,None,1,0.4510243850885565,10.759829680124918
1,1,1,None,1,0.43308150659795713,22.604784806569416
1,10,0.01,None,1,0.5934183006374176,50.412924687067665
1,10,0.05,None,1,0.5900527340851136,15.251300970713297
1,10,0.1,None,1,0.5870672964553993,15.199607531229654
1,10,0.5,None,1,0.4419140396136159,7.077812035878499
1,10,1,None,1,0.4116250366189041,15.23759929339091
1,100,0.01,None,1,0.5886296447687122,49.56217869122823
1,100,0.05,None,1,0.5864448363299968,14.507753292719523
1,100,0.1,None,1,0.5874703969295515,14.48720916112264
1,100,0.5,None,1,0.45039282132119096,11.59393866856893
1,100,1,None,1,0.47045475825001515,23.348171154658
1,1000,0.01,None,1,0.5940920642749392,44.24970634778341
1,1000,0.05,None,1,0.5893361235813638,16.039153655370075
1,1000,0.1,None,1,0.5897855102477504,13.857049067815145
1,1000,0.5,None,1,0.48261433017122357,8.684139728546143
1,1000,1,None,1,0.41706881577002203,21.113783359527588
10,1,0.01,None,1,0.5960661760821006,44.406677643458046
10,1,0.05,None,1,0.5938489757354254,14.498394966125488
10,1,0.1,None,1,0.5887303316566089,13.733731031417847
10,1,0.5,None,1,0.47355066849829514,11.613240957260132
10,1,1,None,1,0.4534449433675885,17.80544098218282
10,10,0.01,None,1,0.5929488819809098,45.551515897115074
10,10,0.05,None,1,0.5892068759183089,14.128831307093302
10,10,0.1,None,1,0.5881017815789028,12.998156944910685
10,10,0.5,None,1,0.45936631676130174,9.672274669011435
10,10,1,None,1,0.38957249614733014,16.863961060841877
10,100,0.01,None,1,0.5925544643048978,45.85622763633728
10,100,0.05,None,1,0.5875135509492099,15.24479111035665
10,100,0.1,None,1,0.587918025971529,13.477598428726196
10,100,0.5,None,1,0.4804480683434092,11.637659152348837
10,100,1,None,1,0.4557575351791889,13.8893461227417
10,1000,0.01,None,1,0.5940781436276671,48.44249860445658
10,1000,0.05,None,1,0.590297060220288,15.703414599100748
10,1000,0.1,None,1,0.5868853390529584,15.269640684127808
10,1000,0.5,None,1,0.4551317948774655,8.345015128453573
10,1000,1,None,1,0.42555469302583404,15.961746056874594
100,1,0.01,None,1,0.5888395120921807,42.406397104263306
100,1,0.05,None,1,0.5925250544252253,15.232018868128458
100,1,0.1,None,1,0.5902389899016236,15.324570496877035
100,1,0.5,None,1,0.45167945937382986,6.735655625661214
100,1,1,None,1,0.41369440334782787,20.085550387700398
100,10,0.01,None,1,0.5964817092188007,59.614981174468994
100,10,0.05,None,1,0.593947073112343,17.838218927383423
100,10,0.1,None,1,0.5850439969504453,14.165959199269613
100,10,0.5,None,1,0.4430910191108807,9.778329531351725
100,10,1,None,1,0.37437624871294606,14.148828347524008
100,100,0.01,None,1,0.5956733595745011,49.24982841809591
100,100,0.05,None,1,0.588099666647968,16.745684305826824
100,100,0.1,None,1,0.5851845374667525,14.163223028182983
100,100,0.5,None,1,0.4788289896963054,12.323378324508667
100,100,1,None,1,0.3952943407514266,14.229575077692667
100,1000,0.01,None,1,0.5897166743949112,49.75196631749471
100,1000,0.05,None,1,0.5908785189620732,16.098977009455364
100,1000,0.1,None,1,0.5844033263991224,13.511462608973185
100,1000,0.5,None,1,0.4586295284421103,6.7982767422993975
100,1000,1,None,1,0.42242152573538955,18.797184944152832
1000,1,0.01,None,1,0.5953650154304156,50.82026179631551
1000,1,0.05,None,1,0.5936799516132519,14.626426458358765
1000,1,0.1,None,1,0.5843479295349633,13.133273045221964
1000,1,0.5,None,1,0.48154146657943553,13.186759948730469
1000,1,1,None,1,0.3927599205049932,16.503124475479126
1000,10,0.01,None,1,0.589919107497313,51.89052391052246
1000,10,0.05,None,1,0.5949067391363028,13.876652240753174
1000,10,0.1,None,1,0.5873763272003507,15.341870546340942
1000,10,0.5,None,1,0.45811040386856466,14.174323320388794
1000,10,1,None,1,0.4124674456751311,12.043144861857096
1000,100,0.01,None,1,0.5932827747796497,45.01944955190023
1000,100,0.05,None,1,0.5868807209677277,15.07543659210205
1000,100,0.1,None,1,0.5855880863171296,14.719095230102539
1000,100,0.5,None,1,0.4515512000456164,7.2621989250183105
1000,100,1,None,1,0.3632540175040671,12.542530536651611
1000,1000,0.01,None,1,0.5930083400121949,50.717113971710205
1000,1000,0.05,None,1,0.5861036046056046,16.34622844060262
1000,1000,0.1,None,1,0.5858688473304768,15.5914515654246
1000,1000,0.5,None,1,0.47731215908437946,12.48084799448649
1000,1000,1,None,1,0.3846128258358439,16.336082061131794
1,1,0.01,None,2,0.5564644127078201,161.25271757443747
1,1,0.05,None,2,0.5587519339664144,69.50165764490764
1,1,0.1,None,2,0.5478397322778995,61.68874867757162
1,1,0.5,None,2,0.4426476366426699,40.70166166623434
