hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
1,1,0.01,None,1,0.5915953756346493,52.00497547785441
1,1,0.05,None,1,0.5870252217586243,14.7727742989858
1,1,0.1,None,1,0.592656292989179,10.482716004053751
1,1,0.5,None,1,0.49391144712097623,7.147132237752278
1,1,1,None,1,0.43699423207881843,10.090753396352133
1,10,0.01,None,1,0.5863420980731248,54.895143588383995
1,10,0.05,None,1,0.5938408013884516,15.681387980779013
1,10,0.1,None,1,0.5865954899211375,11.553802569707235
1,10,0.5,None,1,0.5064686619724003,6.786360343297322
1,10,1,None,1,0.46440315227383994,9.336384296417236
1,100,0.01,None,1,0.5929705905037544,65.38520208994548
1,100,0.05,None,1,0.60003007025399,13.553564230600992
1,100,0.1,None,1,0.5953670006713853,11.615993022918701
1,100,0.5,None,1,0.5161919277495209,7.582672357559204
1,100,1,None,1,0.49570501572568365,19.07866104443868
1,1000,0.01,None,1,0.5986084817279121,52.743030627568565
1,1000,0.05,None,1,0.5970809853774433,14.17580739657084
1,1000,0.1,None,1,0.589287102558795,11.206876436869303
1,1000,0.5,None,1,0.4653527471039622,6.779589335123698
1,1000,1,None,1,0.4412521183491353,10.126630703608194
10,1,0.01,None,1,0.5959689365200563,53.07384165128072
10,1,0.05,None,1,0.5988991821444323,14.916570742925009
10,1,0.1,None,1,0.5867755529360175,10.836640357971191
10,1,0.5,None,1,0.4858331783776297,6.784226655960083
10,1,1,None,1,0.4690626076858164,16.07300607363383
10,10,0.01,None,1,0.5968315699970831,53.55373469988505
10,10,0.05,None,1,0.5972032802672723,16.148048003514607
10,10,0.1,None,1,0.5848079385729273,10.884884357452393
10,10,0.5,None,1,0.5005040892413795,6.80255659421285
10,10,1,None,1,0.41233501577755977,10.59123969078064
10,100,0.01,None,1,0.5919021999918087,52.9129269917806
10,100,0.05,None,1,0.5880962464426792,15.821592648824057
10,100,0.1,None,1,0.5958441909358251,11.677210410435995
10,100,0.5,None,1,0.5051861364778273,9.785558700561523
10,100,1,None,1,0.4657327272748874,28.95955467224121
10,1000,0.01,None,1,0.5871417741236248,99.0298821926117
10,1000,0.05,None,1,0.5996160440693451,23.90309460957845
10,1000,0.1,None,1,0.5876316761949517,11.300509691238403
10,1000,0.5,None,1,0.48761305092469504,6.817511240641276
10,1000,1,None,1,0.46589436876268175,8.348558108011881
100,1,0.01,None,1,0.588120360028264,52.183348655700684
100,1,0.05,None,1,0.5892515873983329,17.316169420878094
100,1,0.1,None,1,0.5881973219057294,11.296948273976644
100,1,0.5,None,1,0.48952039587890267,6.828459898630778
100,1,1,None,1,0.4509103985580576,16.145708322525024
100,10,0.01,None,1,0.591819395037254,55.8908785978953
100,10,0.05,None,1,0.590154156818802,14.663142522176107
100,10,0.1,None,1,0.593765839544282,10.545085906982422
100,10,0.5,None,1,0.48222030291501916,6.835160493850708
100,10,1,None,1,0.4632334252248034,13.160117626190186
100,100,0.01,None,1,0.5921035758182737,46.641104300816856
100,100,0.05,None,1,0.595686046102636,14.642165660858154
100,100,0.1,None,1,0.5929191746778614,12.786400397618612
100,100,0.5,None,1,0.5036995270046882,7.187461853027344
100,100,1,None,1,0.47061847693414754,16.112936973571777
100,1000,0.01,None,1,0.5904430832539176,65.14980125427246
100,1000,0.05,None,1,0.59492924889988,15.47275710105896
100,1000,0.1,None,1,0.5860248126739328,11.697109858194986
100,1000,0.5,None,1,0.48898034310658445,6.817128340403239
100,1000,1,None,1,0.4604881652242492,6.826625108718872
1000,1,0.01,None,1,0.5890930480380782,62.116820335388184
1000,1,0.05,None,1,0.5892527687034353,13.90294337272644
1000,1,0.1,None,1,0.5907737609150383,12.085486888885498
1000,1,0.5,None,1,0.4935538023504978,6.843672672907512
1000,1,1,None,1,0.44196632819643655,9.800060669581095
1000,10,0.01,None,1,0.5963185160313406,52.95915182431539
1000,10,0.05,None,1,0.6001184797618039,15.023062944412231
1000,10,0.1,None,1,0.5862380530303294,11.640021721522013
1000,10,0.5,None,1,0.49521363185824824,7.227675994237264
1000,10,1,None,1,0.4664412943130601,9.425456762313843
1000,100,0.01,None,1,0.5857515003804843,49.51890802383423
1000,100,0.05,None,1,0.5864942953971622,21.46095601717631
1000,100,0.1,None,1,0.5979917734381969,12.726015011469523
1000,100,0.5,None,1,0.47638248534366107,6.879666407903035
1000,100,1,None,1,0.48090139607126337,13.238136132558187
1000,1000,0.01,None,1,0.5842438781133549,53.14631454149882
1000,1000,0.05,None,1,0.5928355501942807,17.80710260073344
1000,1000,0.1,None,1,0.5867709408659688,12.639877955118815
1000,1000,0.5,None,1,0.49682487119300545,8.501015345255533
1000,1000,1,None,1,0.4505863791441423,9.866827011108398
1,1,0.01,None,2,0.541591501458973,148.4782996972402
1,1,0.05,None,2,0.5572046748191394,69.272731701533
1,1,0.1,None,2,0.55513549848212,53.123321771621704
1,1,0.5,None,2,0.4804887085063397,18.181009610493977
1,1,1,None,2,0.42365868781361926,19.988574345906574
1,10,0.01,None,2,0.5397774268508987,148.65137887001038
1,10,0.05,None,2,0.5677523534405315,88.04474465052287
1,10,0.1,None,2,0.5487075077004239,41.74639002482096
1,10,0.5,None,2,0.4555088565670826,18.025034348169964
1,10,1,None,2,0.4124647858623052,23.848835706710815
1,100,0.01,None,2,0.5309318907660723,147.35941632588705
1,100,0.05,None,2,0.557848160862617,59.50992600123087
1,100,0.1,None,2,0.5529167364377069,40.63116478919983
1,100,0.5,None,2,0.4731676311093984,18.015517075856526
1,100,1,None,2,0.42259433249782025,19.98709503809611
1,1000,0.01,None,2,0.5310471952271193,148.3523248831431
1,1000,0.05,None,2,0.5554638897169935,73.0777952671051
1,1000,0.1,None,2,0.5583701751962374,48.956788063049316
1,1000,0.5,None,2,0.4553545543002684,19.300026734670002
1,1000,1,None,2,0.4295710891835576,22.266719659169514
10,1,0.01,None,2,0.5336263689890942,147.24867995580038
10,1,0.05,None,2,0.5558325488155051,65.18857288360596
10,1,0.1,None,2,0.5640569074192826,45.15798362096151
10,1,0.5,None,2,0.46553635104087676,18.215243021647137
10,1,1,None,2,0.4037558337297071,33.35732491811117
10,10,0.01,None,2,0.5274610637891489,150.23971509933472
10,10,0.05,None,2,0.5623146500215884,94.22609742482503
10,10,0.1,None,2,0.5530741614182841,48.52766521771749
10,10,0.5,None,2,0.46059014921860797,18.311941862106323
10,10,1,None,2,0.40607422401209115,21.278052886327107
10,100,0.01,None,2,0.5315908345278055,150.72907876968384
10,100,0.05,None,2,0.557843664016477,83.92626349131267
10,100,0.1,None,2,0.5446220997268556,50.79363306363424
10,100,0.5,None,2,0.47452390189393556,18.26227267583211
10,100,1,None,2,0.4319565010457019,20.25017762184143
10,1000,0.01,None,2,0.547038331047727,152.37969144185385
10,1000,0.05,None,2,0.5611181366708048,76.78209733963013
10,1000,0.1,None,2,0.5554120676486253,40.959736267725624
10,1000,0.5,None,2,0.4683780949373381,18.560447374979656
10,1000,1,None,2,0.4454519929988034,19.51248304049174
100,1,0.01,None,2,0.5396237626381377,151.14943154652914
100,1,0.05,None,2,0.559080388048489,92.12908172607422
100,1,0.1,None,2,0.5538354692390577,47.622433026631676
100,1,0.5,None,2,0.46167275262202273,18.32240319252014
100,1,1,None,2,0.4299813369167516,33.52215607961019
100,10,0.01,None,2,0.5365847979937509,138.34847044944763
100,10,0.05,None,2,0.5539477998440273,83.69021487236023
100,10,0.1,None,2,0.5579173655693882,43.58049964904785
100,10,0.5,None,2,0.46331615130032505,18.402196009953816
100,10,1,None,2,0.42209972481139335,23.360819896062214
100,100,0.01,None,2,0.5349179960471928,151.8796033859253
100,100,0.05,None,2,0.5573168502722767,65.36761593818665
100,100,0.1,None,2,0.5524096795573765,38.59810225168864
100,100,0.5,None,2,0.4575904602133427,18.51684554417928
100,100,1,None,2,0.41293089308912495,33.467846393585205
100,1000,0.01,None,2,0.541661848782124,153.2455768585205
100,1000,0.05,None,2,0.5655937458751262,72.53185931841533
100,1000,0.1,None,2,0.554192267859514,52.28170998891195
100,1000,0.5,None,2,0.4641208182803979,18.552089134852093
100,1000,1,None,2,0.43720565549366847,32.72273898124695
1000,1,0.01,None,2,0.5398006256755367,151.69866633415222
1000,1,0.05,None,2,0.5584349702339869,61.52304927508036
1000,1,0.1,None,2,0.5585710463298014,61.828287760416664
1000,1,0.5,None,2,0.4635766886870689,18.628369728724163
1000,1,1,None,2,0.4152831713722323,24.642194668451946
1000,10,0.01,None,2,0.5338230206703839,152.3934350013733
1000,10,0.05,None,2,0.5604042215764832,77.38151494661967
1000,10,0.1,None,2,0.5456552480352165,43.78119889895121
1000,10,0.5,None,2,0.456176558888358,19.615498622258503
1000,10,1,None,2,0.42778350406150345,54.94771639506022
1000,100,0.01,None,2,0.540143458183115,152.8531022866567
1000,100,0.05,None,2,0.5573547829207868,87.58684166272481
1000,100,0.1,None,2,0.5558637651676593,40.133688608805336
1000,100,0.5,None,2,0.45648391613127676,18.752646287282307
1000,100,1,None,2,0.4125212249184576,32.50252032279968
1000,1000,0.01,None,2,0.547613535641804,155.44257164001465
1000,1000,0.05,None,2,0.5588731910063895,80.95521092414856
1000,1000,0.1,None,2,0.5504132960524541,52.92788600921631
1000,1000,0.5,None,2,0.46735960927514086,20.41939640045166
1000,1000,1,None,2,0.4329777266914024,35.003961642583214
1,1,0.01,english,1,0.5914224886073778,53.63724287350973
1,1,0.05,english,1,0.5891074250280145,14.014124075571695
1,1,0.1,english,1,0.5813165346148126,11.863414923350016
1,1,0.5,english,1,0.51471058317717,6.51532777150472
1,1,1,english,1,0.4822166974585078,11.541197299957275
1,10,0.01,english,1,0.5895272619456748,50.05639886856079
1,10,0.05,english,1,0.5886132398913639,16.84454067548116
1,10,0.1,english,1,0.588415122011341,10.477363665898642
1,10,0.5,english,1,0.5238498650036063,6.518301328023274
1,10,1,english,1,0.5122485431654568,12.647019386291504
1,100,0.01,english,1,0.5888423457306237,51.487391789754234
1,100,0.05,english,1,0.5933337808809203,15.131181716918945
1,100,0.1,english,1,0.5795644963715025,12.228042284647623
1,100,0.5,english,1,0.5129122180674436,6.522208372751872
1,100,1,english,1,0.49277431089736695,13.741776466369629
1,1000,0.01,english,1,0.5932034813061048,50.699797789255776
1,1000,0.05,english,1,0.590122554917729,15.183858633041382
1,1000,0.1,english,1,0.58715083770087,10.472212314605713
1,1000,0.5,english,1,0.4920943184152322,6.533015012741089
1,1000,1,english,1,0.49724665591646805,12.9768017133077
10,1,0.01,english,1,0.5984818384449683,52.42106588681539
10,1,0.05,english,1,0.588410671253945,15.829946597417196
10,1,0.1,english,1,0.5866354297072955,11.485861460367838
10,1,0.5,english,1,0.4924247597994724,6.8775209585825605
10,1,1,english,1,0.48386674688357784,13.75111492474874
10,10,0.01,english,1,0.5970413009359349,48.60282532374064
10,10,0.05,english,1,0.5931060257484903,14.362695217132568
10,10,0.1,english,1,0.5945770536383325,10.10394295056661
10,10,0.5,english,1,0.5068210298383247,6.539819002151489
10,10,1,english,1,0.48605362171127675,15.829855680465698
10,100,0.01,english,1,0.5963880861739553,51.292231718699135
10,100,0.05,english,1,0.586887613296523,15.861212015151978
10,100,0.1,english,1,0.5914001694258629,12.365698655446371
10,100,0.5,english,1,0.5216550612866235,6.522414525349935
10,100,1,english,1,0.48338405458035555,10.858706633249918
10,1000,0.01,english,1,0.5907572133808748,52.23349197705587
10,1000,0.05,english,1,0.5843870140695041,13.42408267656962
10,1000,0.1,english,1,0.5856415990080164,9.771130959192911
10,1000,0.5,english,1,0.5143226702901508,6.564810037612915
10,1000,1,english,1,0.4956687576625331,13.72837003072103
100,1,0.01,english,1,0.5948230055990771,51.25733192761739
100,1,0.05,english,1,0.5921843624520203,15.88325842221578
100,1,0.1,english,1,0.5874961195578539,10.50635544459025
100,1,0.5,english,1,0.5122911432427102,7.236333926518758
100,1,1,english,1,0.5083616582900128,15.95240060488383
100,10,0.01,english,1,0.6010157072594028,52.65401864051819
100,10,0.05,english,1,0.5924557274695919,14.442380030949911
100,10,0.1,english,1,0.587981251477739,11.544802268346151
100,10,0.5,english,1,0.5110168793380961,6.540349721908569
100,10,1,english,1,0.4990159869816993,11.537249247233072
100,100,0.01,english,1,0.5979568226862392,49.70991031328837
100,100,0.05,english,1,0.5918906056417241,15.515968720118204
100,100,0.1,english,1,0.5806265957137702,11.568380991617838
100,100,0.5,english,1,0.5136254460541156,6.544047991434733
100,100,1,english,1,0.4875927690577777,15.895037015279135
100,1000,0.01,english,1,0.5965425429117203,52.84480865796407
100,1000,0.05,english,1,0.5871830136450712,16.961116711298626
100,1000,0.1,english,1,0.5854389225126394,12.661981423695883
100,1000,0.5,english,1,0.5248343859116398,6.943828582763672
100,1000,1,english,1,0.48876646919888844,10.901092688242594
1000,1,0.01,english,1,0.5902129658634886,50.63794334729513
1000,1,0.05,english,1,0.5915387024746864,14.133547306060791
1000,1,0.1,english,1,0.5924234591781877,10.85564661026001
1000,1,0.5,english,1,0.49812766025998706,6.939142942428589
1000,1,1,english,1,0.48785231855725675,16.306455612182617
1000,10,0.01,english,1,0.5904775535764919,48.92872246106466
1000,10,0.05,english,1,0.5948457794103197,14.457174301147461
1000,10,0.1,english,1,0.5791183037958929,10.526275634765625
1000,10,0.5,english,1,0.5181730970644282,7.3371297518412275
1000,10,1,english,1,0.4674854903377943,14.269487698872885
1000,100,0.01,english,1,0.5910673058735368,45.747090895970665
1000,100,0.05,english,1,0.6002271619055528,15.264734029769897
1000,100,0.1,english,1,0.5896207502176826,10.562701543172201
1000,100,0.5,english,1,0.5115195993205717,6.614966710408528
1000,100,1,english,1,0.4693211267674548,13.107406059900919
1000,1000,0.01,english,1,0.5864875717502024,53.979855378468834
1000,1000,0.05,english,1,0.5919912539901596,17.597496430079143
1000,1000,0.1,english,1,0.5848183710734162,13.758288780848185
1000,1000,0.5,english,1,0.5109157038890529,8.88238263130188
1000,1000,1,english,1,0.49667211232654473,17.32129406929016
1,1,0.01,english,2,0.5782630170734894,117.06086365381877
1,1,0.05,english,2,0.5799216472391749,43.05148903528849
1,1,0.1,english,2,0.5771842115123085,38.535488287607826
1,1,0.5,english,2,0.5022012073402662,14.188021183013916
1,1,1,english,2,0.45986065728138636,28.92228635152181
1,10,0.01,english,2,0.5694495281310749,117.15299836794536
1,10,0.05,english,2,0.5783481957793527,49.34366830190023
1,10,0.1,english,2,0.577165017779825,42.141785621643066
1,10,0.5,english,2,0.5151516586100551,14.534603595733643
1,10,1,english,2,0.4789302294795163,44.79438932736715
1,100,0.01,english,2,0.5714920185014639,117.33498160044353
1,100,0.05,english,2,0.5788332800367498,43.13415535291036
1,100,0.1,english,2,0.5739710402517848,39.23862020174662
1,100,0.5,english,2,0.49601240657717544,14.99469526608785
1,100,1,english,2,0.43506541993404624,25.766820351282757
1,1000,0.01,english,2,0.5672267969400551,116.74682259559631
1,1000,0.05,english,2,0.5714567848163721,42.20142968495687
1,1000,0.1,english,2,0.5738918185794042,35.27432131767273
1,1000,0.5,english,2,0.5185003520329702,15.687923431396484
1,1000,1,english,2,0.4674617880618472,36.32763353983561
10,1,0.01,english,2,0.5646001410107059,116.7518965403239
10,1,0.05,english,2,0.575945644075753,50.38021961847941
10,1,0.1,english,2,0.571252690429387,37.70857357978821
10,1,0.5,english,2,0.5133538444052523,16.698936621348064
10,1,1,english,2,0.44157657954783414,22.09978397687276
10,10,0.01,english,2,0.571588819593749,115.82442220052083
10,10,0.05,english,2,0.5733724797609705,43.92230415344238
10,10,0.1,english,2,0.5694510395638116,28.065617720286053
10,10,0.5,english,2,0.5138146846795585,14.90120760599772
10,10,1,english,2,0.4770516278009816,21.217320919036865
10,100,0.01,english,2,0.5681605274110073,116.88066061337788
10,100,0.05,english,2,0.5777231115435177,46.954739570617676
10,100,0.1,english,2,0.5697779290814532,35.02682932217916
10,100,0.5,english,2,0.5035529789348782,14.115938186645508
10,100,1,english,2,0.463238364751189,28.033718744913738
10,1000,0.01,english,2,0.5581529435272866,116.58894896507263
10,1000,0.05,english,2,0.5797023477311182,49.38865335782369
10,1000,0.1,english,2,0.5687873944849816,44.43309529622396
10,1000,0.5,english,2,0.49027146625059154,15.677237192789713
10,1000,1,english,2,0.468957725659712,19.551047722498577
100,1,0.01,english,2,0.5653638903565606,115.17554799715678
100,1,0.05,english,2,0.5776081849403051,48.405850648880005
100,1,0.1,english,2,0.5725976217622665,43.648640950520836
100,1,0.5,english,2,0.4930675298165348,14.900045235951742
100,1,1,english,2,0.4688801437690287,35.688424269358315
100,10,0.01,english,2,0.5710543285992004,117.94289135932922
100,10,0.05,english,2,0.5715870371255029,43.663071076075234
100,10,0.1,english,2,0.5667875721819516,34.761885484059654
100,10,0.5,english,2,0.48711986770755145,14.511594454447428
100,10,1,english,2,0.4931947552100478,33.13133732477824
100,100,0.01,english,2,0.5665177872615432,118.60745731989543
100,100,0.05,english,2,0.5709673062195458,49.51145124435425
100,100,0.1,english,2,0.5699613308014976,31.651987950007122
100,100,0.5,english,2,0.5094387914325068,14.33981966972351
100,100,1,english,2,0.4652605210593734,21.260071516036987
100,1000,0.01,english,2,0.5675645435553484,119.50442679723103
100,1000,0.05,english,2,0.5772531839566953,52.303853034973145
100,1000,0.1,english,2,0.5649317587523396,42.89885759353638
100,1000,0.5,english,2,0.5049389493691324,15.562359094619751
100,1000,1,english,2,0.48468166575955757,18.681024710337322
1000,1,0.01,english,2,0.5677738438728719,127.20976360638936
1000,1,0.05,english,2,0.5783230538906428,53.03736980756124
1000,1,0.1,english,2,0.5759642158920152,32.93049136797587
1000,1,0.5,english,2,0.5213355583674261,14.97705594698588
1000,1,1,english,2,0.5018127511050275,25.005916754404705
1000,10,0.01,english,2,0.5664881622100089,109.17855183283488
1000,10,0.05,english,2,0.5822971707325467,50.280618031819664
1000,10,0.1,english,2,0.5743391375031353,33.667038679122925
1000,10,0.5,english,2,0.5206701403173475,14.9357750415802
1000,10,1,english,2,0.4610467143358652,23.610247214635212
1000,100,0.01,english,2,0.5712489147355962,110.56014553705852
1000,100,0.05,english,2,0.581168598695045,52.37264617284139
1000,100,0.1,english,2,0.5773322998068295,32.90255626042684
1000,100,0.5,english,2,0.49890855884824764,14.962940375010172
1000,100,1,english,2,0.4577256613589678,34.21062127749125
1000,1000,0.01,english,2,0.565646536239946,134.48805705706278
1000,1000,0.05,english,2,0.5803398413247233,51.910430669784546
1000,1000,0.1,english,2,0.5723862754730621,29.834800322850544
1000,1000,0.5,english,2,0.5046404741042,16.92269269625346
1000,1000,1,english,2,0.4724358471386558,28.831886609395344
