hidden_layers,hidden_size,learning_rate,stopwords,ngrams,err,time
1,1,0.01,None,1,0.43776817224327597,17.232964436213177
1,1,0.05,None,1,0.44416324367411214,8.784159024556478
1,1,0.1,None,1,0.4422851773035305,6.1130945682525635
1,1,0.5,None,1,0.3985389396727299,2.1280363400777182
1,1,1,None,1,0.3800857265618118,2.0142482916514077
1,10,0.01,None,1,0.4361997961789809,17.596035321553547
1,10,0.05,None,1,0.44972941376547665,5.640679518381755
1,10,0.1,None,1,0.43119833003551755,3.1050910154978433
1,10,0.5,None,1,0.38486446077491404,1.6579194068908691
1,10,1,None,1,0.32885221350498217,1.5138294696807861
1,100,0.01,None,1,0.43534082736912555,12.188669284184774
1,100,0.05,None,1,0.45055624833826996,6.342492739359538
1,100,0.1,None,1,0.44400492938841446,3.6709736982981362
1,100,0.5,None,1,0.3839505811874902,1.4982004165649414
1,100,1,None,1,0.34919848418490806,1.5199366410573323
1,1000,0.01,None,1,0.43163266362822705,12.2097376982371
1,1000,0.05,None,1,0.4425450190888493,5.845457235972087
1,1000,0.1,None,1,0.4290213964686978,4.098704020182292
1,1000,0.5,None,1,0.3893164541450576,1.499975045522054
1,1000,1,None,1,0.3551089464633092,1.5068713823954265
10,1,0.01,None,1,0.4483776431829642,12.209909359614054
10,1,0.05,None,1,0.44349292594508566,5.404823223749797
10,1,0.1,None,1,0.43009345415107686,3.0196741422017417
10,1,0.5,None,1,0.3899022222143249,1.666327714920044
10,1,1,None,1,0.3710746706410533,1.584201733271281
10,10,0.01,None,1,0.44693342151822807,12.267987251281738
10,10,0.05,None,1,0.44417775403661747,4.655348777770996
10,10,0.1,None,1,0.4376713295950345,2.8169192473093667
10,10,0.5,None,1,0.3992412260874996,1.603963295618693
10,10,1,None,1,0.38443800273208145,1.5374356110890706
10,100,0.01,None,1,0.43017863830258385,12.739567041397095
10,100,0.05,None,1,0.4423422967979358,4.982848644256592
10,100,0.1,None,1,0.44094847135603654,3.747178872426351
10,100,0.5,None,1,0.4072722245920013,1.5106035868326824
10,100,1,None,1,0.380215709338143,1.5064206918080647
10,1000,0.01,None,1,0.44690479586404136,12.197130044301352
10,1000,0.05,None,1,0.44507592780453203,5.22478969891866
10,1000,0.1,None,1,0.4341061947243596,3.1205530166625977
10,1000,0.5,None,1,0.3794474755437056,1.5038703282674153
10,1000,1,None,1,0.3740776458392539,1.5141456127166748
100,1,0.01,None,1,0.4462341424224357,12.26249329249064
100,1,0.05,None,1,0.44767016992062875,4.713404655456543
100,1,0.1,None,1,0.4491453750589091,3.429474671681722
