regularization,gamma,kernel,stopwords,n_grams,err,time
0.01,1e-05,linear,None,1,0.6132578361300922,1.5024632612864177
0.01,1e-05,poly,None,1,0.24781783451651332,0.9581112861633301
0.01,1e-05,rbf,None,1,0.24781783451651332,1.2382673422495525
0.01,1e-05,sigmoid,None,1,0.24781783451651332,1.0930456320444744
0.01,0.0001,linear,None,1,0.6132578361300922,1.4865326086680095
0.01,0.0001,poly,None,1,0.24781783451651332,1.3725313345591228
0.01,0.0001,rbf,None,1,0.24781783451651332,1.543683608373006
0.01,0.0001,sigmoid,None,1,0.24781783451651332,1.3833941618601482
0.01,0.001,linear,None,1,0.6132578361300922,1.4778799215952556
0.01,0.001,poly,None,1,0.27940901675663415,1.5912107626597087
0.01,0.001,rbf,None,1,0.24781783451651332,1.5122625827789307
0.01,0.001,sigmoid,None,1,0.24781783451651332,1.1287288665771484
0.01,0.01,linear,None,1,0.6132578361300922,1.475331703821818
0.01,0.01,poly,None,1,0.301877934977622,1.688413381576538
0.01,0.01,rbf,None,1,0.24781783451651332,1.5984310309092205
0.01,0.01,sigmoid,None,1,0.24781783451651332,1.0871305465698242
0.01,0.1,linear,None,1,0.6132578361300922,1.4776009718577068
0.01,0.1,poly,None,1,0.301877934977622,1.6885180473327637
0.01,0.1,rbf,None,1,0.24781783451651332,1.4743149280548096
0.01,0.1,sigmoid,None,1,0.2495346952107371,1.1039187908172607
0.1,1e-05,linear,None,1,0.6174665008702962,1.4601612091064453
0.1,1e-05,poly,None,1,0.24781783451651332,0.9576623439788818
0.1,1e-05,rbf,None,1,0.24781783451651332,1.4278372128804524
0.1,1e-05,sigmoid,None,1,0.24781783451651332,1.4281612237294514
0.1,0.0001,linear,None,1,0.6174665008702962,1.4633877277374268
0.1,0.0001,poly,None,1,0.24781783451651332,1.4869893391927083
0.1,0.0001,rbf,None,1,0.24781783451651332,1.4783618450164795
0.1,0.0001,sigmoid,None,1,0.24781783451651332,1.5348233381907146
0.1,0.001,linear,None,1,0.6174665008702962,1.525521993637085
0.1,0.001,poly,None,1,0.32009669081784886,1.7712427775065105
0.1,0.001,rbf,None,1,0.25064356950180766,1.603085994720459
0.1,0.001,sigmoid,None,1,0.2700858344969989,1.1667303244272869
0.1,0.01,linear,None,1,0.6174665008702962,1.4761382738749187
0.1,0.01,poly,None,1,0.301877934977622,1.6909348964691162
0.1,0.01,rbf,None,1,0.24781783451651332,1.6730636755625408
0.1,0.01,sigmoid,None,1,0.5959605571268518,1.0325140158335369
0.1,0.1,linear,None,1,0.6174665008702962,1.4615853627522786
0.1,0.1,poly,None,1,0.301877934977622,1.6970709164937336
0.1,0.1,rbf,None,1,0.24781783451651332,1.4991519451141357
0.1,0.1,sigmoid,None,1,0.5216628765394379,1.0134599208831787
0.25,1e-05,linear,None,1,0.6128855155793909,1.47038737932841
0.25,1e-05,poly,None,1,0.24781783451651332,0.9847296873728434
0.25,1e-05,rbf,None,1,0.24781783451651332,1.4435962041219075
0.25,1e-05,sigmoid,None,1,0.24781783451651332,1.4497120380401611
0.25,0.0001,linear,None,1,0.6128855155793909,1.4638986587524414
0.25,0.0001,poly,None,1,0.24836461358249817,1.461151917775472
0.25,0.0001,rbf,None,1,0.24781783451651332,1.465183973312378
0.25,0.0001,sigmoid,None,1,0.24781783451651332,1.455124298731486
