regularization,gamma,kernel,stopwords,n_grams,err,time
0.01,1e-05,linear,None,1,0.6146405172656154,2.3718911012013755
0.01,1e-05,poly,None,1,0.24836461358249817,3.5509913762410483
0.01,1e-05,rbf,None,1,0.15318653889614955,3.6922644774119058
0.01,1e-05,sigmoid,None,1,0.2593487395041942,3.7004533608754477
0.01,0.0001,linear,None,1,0.6146405172656154,2.3592515786488852
0.01,0.0001,poly,None,1,0.24836461358249817,3.5434653759002686
0.01,0.0001,rbf,None,1,0.2921251639808906,3.6826460361480713
0.01,0.0001,sigmoid,None,1,0.3544574712165652,3.702730099360148
0.01,0.001,linear,None,1,0.6146405172656154,2.3611156940460205
0.01,0.001,poly,None,1,0.2269644061143322,2.8878254095713296
0.01,0.001,rbf,None,1,0.2833964902874302,3.64439066251119
0.01,0.001,sigmoid,None,1,0.5264749824073477,3.701136350631714
0.01,0.01,linear,None,1,0.6146405172656154,2.3635953267415366
0.01,0.01,poly,None,1,0.301877934977622,2.6229910055796304
0.01,0.01,rbf,None,1,0.2561966199596584,3.850926955540975
0.01,0.01,sigmoid,None,1,0.5423055122338029,3.7311248779296875
0.01,0.1,linear,None,1,0.6146405172656154,2.37760059038798
0.01,0.1,poly,None,1,0.301877934977622,2.630398909250895
0.01,0.1,rbf,None,1,0.25573414303110537,3.68714706103007
0.01,0.1,sigmoid,None,1,0.49496310440543034,3.754063844680786
0.1,1e-05,linear,None,1,0.617475237661373,2.387811263402303
0.1,1e-05,poly,None,1,0.24836461358249817,3.549157698949178
0.1,1e-05,rbf,None,1,0.15318653889614955,3.6960217157999673
0.1,1e-05,sigmoid,None,1,0.2593487395041942,3.70088259379069
0.1,0.0001,linear,None,1,0.617475237661373,2.3745981057484946
0.1,0.0001,poly,None,1,0.24944251518026206,3.501811424891154
0.1,0.0001,rbf,None,1,0.3031476651729958,3.625986655553182
0.1,0.0001,sigmoid,None,1,0.3544574712165652,3.7136109670003257
0.1,0.001,linear,None,1,0.617475237661373,2.3755973180135093
0.1,0.001,poly,None,1,0.2081903792581452,2.677592674891154
0.1,0.001,rbf,None,1,0.2835902603916665,3.6342906951904297
0.1,0.001,sigmoid,None,1,0.6392248724784615,3.489790121714274
0.1,0.01,linear,None,1,0.617475237661373,2.376306931177775
0.1,0.01,poly,None,1,0.301877934977622,2.622612794240316
0.1,0.01,rbf,None,1,0.2561966199596584,3.8909204800923667
0.1,0.01,sigmoid,None,1,0.6151538378168587,2.8142642974853516
0.1,0.1,linear,None,1,0.617475237661373,2.369138797124227
0.1,0.1,poly,None,1,0.301877934977622,2.6219306786855063
0.1,0.1,rbf,None,1,0.25573414303110537,3.6769707202911377
0.1,0.1,sigmoid,None,1,0.47602768716470106,2.81378968556722
0.25,1e-05,linear,None,1,0.612569903315014,2.3720683256785073
0.25,1e-05,poly,None,1,0.24836461358249817,3.5606652895609536
0.25,1e-05,rbf,None,1,0.15318653889614955,3.693490425745646
0.25,1e-05,sigmoid,None,1,0.2593487395041942,3.7029330730438232
0.25,0.0001,linear,None,1,0.612569903315014,2.3750783602396646
0.25,0.0001,poly,None,1,0.2597436305223996,3.3996949990590415
0.25,0.0001,rbf,None,1,0.3351879398036501,3.6401799519856772
0.25,0.0001,sigmoid,None,1,0.3620353667165787,3.6660091082255044
