regularization,gamma,kernel,stopwords,n_grams,err,time
0.01,1e-05,linear,None,1,0.6111605053411377,3.1677473386128745
0.01,1e-05,poly,None,1,0.11630024117043297,4.116665045420329
0.01,1e-05,rbf,None,1,0.17725793485786054,4.51642632484436
0.01,1e-05,sigmoid,None,1,0.382288247255208,4.374435265858968
0.01,0.0001,linear,None,1,0.6111605053411377,3.075424909591675
0.01,0.0001,poly,None,1,0.11630024117043297,4.133443593978882
0.01,0.0001,rbf,None,1,0.28706300755814756,4.2320098876953125
0.01,0.0001,sigmoid,None,1,0.40925927899371284,4.285453240076701
0.01,0.001,linear,None,1,0.6111605053411377,3.0649372736612954
0.01,0.001,poly,None,1,0.14678782107926888,3.8598368962605796
0.01,0.001,rbf,None,1,0.27054453114432525,4.204733928044637
0.01,0.001,sigmoid,None,1,0.35829803542034755,4.267908573150635
0.01,0.01,linear,None,1,0.6111605053411377,3.0799896717071533
0.01,0.01,poly,None,1,0.22299814954088804,3.738533894220988
0.01,0.01,rbf,None,1,0.2551648853597331,4.610891024271647
0.01,0.01,sigmoid,None,1,0.4598941217099985,3.965063492457072
0.01,0.1,linear,None,1,0.6111605053411377,3.0703996817270913
0.01,0.1,poly,None,1,0.22401798740914491,3.6606292724609375
0.01,0.1,rbf,None,1,0.2551648853597331,4.228502988815308
0.01,0.1,sigmoid,None,1,0.4046546431168898,3.93843666712443
0.1,1e-05,linear,None,1,0.6170762985727074,2.947159767150879
0.1,1e-05,poly,None,1,0.11630024117043297,4.126152992248535
0.1,1e-05,rbf,None,1,0.17725793485786054,4.294563055038452
0.1,1e-05,sigmoid,None,1,0.382288247255208,4.28395144144694
0.1,0.0001,linear,None,1,0.6170762985727074,2.9466522534688315
0.1,0.0001,poly,None,1,0.2538114106697124,4.12301508585612
0.1,0.0001,rbf,None,1,0.36281160504615095,3.775401989618937
0.1,0.0001,sigmoid,None,1,0.40925927899371284,4.299268881479899
0.1,0.001,linear,None,1,0.6170762985727074,2.9383758703867593
0.1,0.001,poly,None,1,0.2090311757298681,3.6944130261739097
0.1,0.001,rbf,None,1,0.300018540731335,3.877830664316813
0.1,0.001,sigmoid,None,1,0.5343224156854486,3.1900176207224527
0.1,0.01,linear,None,1,0.6170762985727074,2.955117623011271
0.1,0.01,poly,None,1,0.22401798740914491,3.7473926544189453
0.1,0.01,rbf,None,1,0.2551648853597331,4.471156199773152
0.1,0.01,sigmoid,None,1,0.5836490763195584,2.525108257929484
0.1,0.1,linear,None,1,0.6170762985727074,2.935927708943685
0.1,0.1,poly,None,1,0.22401798740914491,3.650542656580607
0.1,0.1,rbf,None,1,0.2551648853597331,4.258935610453288
0.1,0.1,sigmoid,None,1,0.38859841959904967,2.799216349919637
0.25,1e-05,linear,None,1,0.6129240200398697,2.9766182899475098
0.25,1e-05,poly,None,1,0.11630024117043297,4.118440945943196
0.25,1e-05,rbf,None,1,0.18305524241834994,4.260893185933431
0.25,1e-05,sigmoid,None,1,0.382288247255208,4.306663274765015
0.25,0.0001,linear,None,1,0.6129240200398697,2.962973674138387
