regularization,gamma,kernel,stopwords,n_grams,err,time
0.01,1e-05,linear,None,1,0.49714554381299014,0.24464639027913412
0.01,1e-05,poly,None,1,0.09330223652940217,0.20922040939331055
0.01,1e-05,rbf,None,1,0.12932343027809867,0.21819535891215006
0.01,1e-05,sigmoid,None,1,0.31641462196190795,0.24080236752827963
0.01,0.0001,linear,None,1,0.49714554381299014,0.23890368143717447
0.01,0.0001,poly,None,1,0.09330223652940217,0.22681736946105957
0.01,0.0001,rbf,None,1,0.2736239290069924,0.2252496878306071
0.01,0.0001,sigmoid,None,1,0.47317427224554537,0.2543206214904785
0.01,0.001,linear,None,1,0.49714554381299014,0.28249263763427734
0.01,0.001,poly,None,1,0.13102624893453255,0.235215425491333
0.01,0.001,rbf,None,1,0.2727113351723213,0.22467772165934244
0.01,0.001,sigmoid,None,1,0.5204872658875318,0.2172260284423828
0.01,0.01,linear,None,1,0.49714554381299014,0.22863300641377768
0.01,0.01,poly,None,1,0.21628313117935452,0.2446000576019287
0.01,0.01,rbf,None,1,0.22187717515198357,0.22415431340535483
0.01,0.01,sigmoid,None,1,0.5442425146369186,0.21823875109354654
0.01,0.1,linear,None,1,0.49714554381299014,0.22146177291870117
0.01,0.1,poly,None,1,0.21628313117935452,0.24267188707987467
0.01,0.1,rbf,None,1,0.2161858063423384,0.2148743470509847
0.01,0.1,sigmoid,None,1,0.4186308887610463,0.22112727165222168
0.1,1e-05,linear,None,1,0.4959838490649788,0.22239168485005698
0.1,1e-05,poly,None,1,0.09330223652940217,0.20912297566731772
0.1,1e-05,rbf,None,1,0.12932343027809867,0.21599857012430826
0.1,1e-05,sigmoid,None,1,0.31641462196190795,0.21754844983418783
0.1,0.0001,linear,None,1,0.4959838490649788,0.2218931516011556
0.1,0.0001,poly,None,1,0.09485102014746331,0.20920276641845703
0.1,0.0001,rbf,None,1,0.2736239290069924,0.2145696481068929
0.1,0.0001,sigmoid,None,1,0.47317427224554537,0.2162760098775228
0.1,0.001,linear,None,1,0.4959838490649788,0.22032674153645834
0.1,0.001,poly,None,1,0.1467930955179013,0.23573613166809082
0.1,0.001,rbf,None,1,0.2727113351723213,0.22629006703694662
0.1,0.001,sigmoid,None,1,0.5204872658875318,0.24921139081319174
0.1,0.01,linear,None,1,0.4959838490649788,0.2222930590311686
0.1,0.01,poly,None,1,0.21628313117935452,0.2461224397023519
0.1,0.01,rbf,None,1,0.22187717515198357,0.2238763173421224
0.1,0.01,sigmoid,None,1,0.5982483358718627,0.21163233121236166
0.1,0.1,linear,None,1,0.4959838490649788,0.22137165069580078
0.1,0.1,poly,None,1,0.21628313117935452,0.24331164360046387
0.1,0.1,rbf,None,1,0.2161858063423384,0.21713868776957193
0.1,0.1,sigmoid,None,1,0.4736538520688014,0.20943284034729004
0.25,1e-05,linear,None,1,0.4959838490649788,0.22188973426818848
0.25,1e-05,poly,None,1,0.09330223652940217,0.21102197964986166
0.25,1e-05,rbf,None,1,0.12932343027809867,0.2148740291595459
0.25,1e-05,sigmoid,None,1,0.31641462196190795,0.21615473429361978
0.25,0.0001,linear,None,1,0.4959838490649788,0.22199153900146484
0.25,0.0001,poly,None,1,0.14169518626620525,0.2093792756398519
0.25,0.0001,rbf,None,1,0.2901682589581123,0.21380861600240073
0.25,0.0001,sigmoid,None,1,0.47317427224554537,0.21711929639180502
0.25,0.001,linear,None,1,0.4959838490649788,0.2270666758219401
0.25,0.001,poly,None,1,0.14605582569699047,0.23906898498535156
0.25,0.001,rbf,None,1,0.2731605248555334,0.21385963757832846
0.25,0.001,sigmoid,None,1,0.5621649949285111,0.21497162183125815
0.25,0.01,linear,None,1,0.4959838490649788,0.22112043698628744
0.25,0.01,poly,None,1,0.21628313117935452,0.2421893278757731
0.25,0.01,rbf,None,1,0.22187717515198357,0.22307499249776205
0.25,0.01,sigmoid,None,1,0.5601191267283196,0.19271079699198404
0.25,0.1,linear,None,1,0.4959838490649788,0.22081287701924643
0.25,0.1,poly,None,1,0.21628313117935452,0.24521517753601074
0.25,0.1,rbf,None,1,0.2161858063423384,0.2291093667348226
0.25,0.1,sigmoid,None,1,0.4758655149027213,0.19346928596496582
0.5,1e-05,linear,None,1,0.4959838490649788,0.22180636723836264
0.5,1e-05,poly,None,1,0.09330223652940217,0.21064273516337076
0.5,1e-05,rbf,None,1,0.12932343027809867,0.21520495414733887
0.5,1e-05,sigmoid,None,1,0.31641462196190795,0.21651768684387207
0.5,0.0001,linear,None,1,0.4959838490649788,0.2228693167368571
0.5,0.0001,poly,None,1,0.17364201639084897,0.22377896308898926
0.5,0.0001,rbf,None,1,0.3002757937887423,0.21720155080159506
0.5,0.0001,sigmoid,None,1,0.47317427224554537,0.2171912988026937
0.5,0.001,linear,None,1,0.4959838490649788,0.22182679176330566
0.5,0.001,poly,None,1,0.14964909184443473,0.2387983798980713
0.5,0.001,rbf,None,1,0.27768702803589723,0.21640904744466147
0.5,0.001,sigmoid,None,1,0.5442362825186656,0.20930171012878418
0.5,0.01,linear,None,1,0.4959838490649788,0.2218642234802246
0.5,0.01,poly,None,1,0.21628313117935452,0.24363136291503906
0.5,0.01,rbf,None,1,0.22187717515198357,0.227584441502889
0.5,0.01,sigmoid,None,1,0.5457335105255803,0.17928663889567056
0.5,0.1,linear,None,1,0.4959838490649788,0.22246893246968588
0.5,0.1,poly,None,1,0.21628313117935452,0.24265305201212564
0.5,0.1,rbf,None,1,0.2161858063423384,0.21750688552856445
0.5,0.1,sigmoid,None,1,0.4549794087441923,0.17882513999938965
0.75,1e-05,linear,None,1,0.4959838490649788,0.2212825616200765
0.75,1e-05,poly,None,1,0.09330223652940217,0.2096527417500814
0.75,1e-05,rbf,None,1,0.12932343027809867,0.21410314242045084
0.75,1e-05,sigmoid,None,1,0.31641462196190795,0.2166309356689453
